F64832,F65600,F66371,F16584,F19086,F34704
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
1170,2950,2612,2294,2563,13993
2034,5065,3870,3154,3207,18429
1751,4000,3566,3246,3625,19906
2558,5976,5716,5076,5437,29585
1160,2825,3046,2966,3118,16631
1537,3907,3880,3647,3855,20246
2385,5862,5971,5596,6593,33781
1189,3039,3163,2767,3189,16994
1620,4058,3989,3624,4098,22175
3779,10833,9195,8005,8051,42548
4022,8095,7412,7524,9498,48806
2070,5002,4702,4103,4738,24737
1868,4535,4650,4281,4678,25827
3372,8580,6498,5668,5763,30874
2975,7859,6773,5939,6372,33633
2735,8589,7007,5836,4988,28555
415,951,996,938,1060,5616
5815,14401,9114,7506,6689,37599
1946,4864,4851,4732,5041,27770
2190,5149,4980,4611,5220,26862
2968,7876,7411,6450,6796,37121
3159,6960,4837,4429,4934,25995
5399,18316,17212,15620,13070,69891
2053,4574,5011,4941,5952,30549
3468,7399,7228,7144,8012,42358
4204,11810,9120,7257,7271,40371
1417,3339,3189,2822,3315,18045
2646,7570,6500,6567,5829,30887
1614,3897,4117,4184,4413,23164
2156,5643,6528,6588,7468,35966
1681,5180,5846,5478,5180,27296
1336,4020,4433,3781,3340,19750
1669,4336,5035,5145,5506,27583
1640,4229,4681,4732,4895,24568
3518,8240,7526,7400,7592,40187
1111,3035,3461,3471,3830,19127
1621,3544,3923,4136,5058,25078
1799,5361,5210,5362,4608,23617
635,1901,2678,2960,2554,12930
1214,3073,3485,3816,4350,21518
1589,3412,3479,3933,4740,23268
2137,5636,7579,7799,7455,37783
3758,11290,10363,9741,10052,49914
3901,9679,7262,6052,5841,32275
4553,12237,9086,7768,6796,36899
1481,3483,3287,3096,3383,19002
7336,17078,15043,13411,14556,80672
3551,8047,7729,7780,8526,46326
4183,9049,8999,9028,11220,56876
3948,9053,8857,8423,10085,51390
3605,8814,7875,7597,8548,46713
5437,12828,12235,11422,13981,72467
1504,3560,3654,3706,3911,20910
2700,6565,6458,6715,8005,40491
1655,3605,3996,4582,5275,26856
825,1658,1619,1879,2483,12551
570,1289,1267,1277,1569,8429
1568,4073,3839,4035,4736,23579
2660,7410,5567,4683,3578,20453
791,2025,2215,2641,2910,14037
961,2637,2615,2521,2720,14551
1877,4600,4554,4607,5334,27372
1453,3577,3725,4135,4835,23400
1095,2370,2358,2387,2525,14410
895,2023,1949,1779,1930,10924
1365,3085,3194,2966,3269,17157
858,1905,2026,1801,1951,11210
615,1332,1158,1130,1376,7649
1057,2230,2215,2289,2576,14367
1329,3121,3022,3090,3924,19447
888,2109,2144,1998,2352,12391
1197,2729,2967,2693,3177,16522
737,1594,1377,1366,1838,10078
1273,3190,2947,3005,3543,18240
1135,2605,2212,2207,2664,14419
1110,2556,2273,2212,2833,14593
1004,2354,2485,2699,3137,15720
1425,2936,2616,2490,3034,16499
2485,5886,4098,3709,3390,18394
794,1788,1962,1702,2144,11332
