CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F87449,F87465,F87481,F87497,F87513,F87528,F87544,F87560,F87576,F87592,F87608
,,,,,"Age : 16 to 74 years old - Travel to work; Means of : Work mainly at or from home - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Underground; metro; light rail; tram (England and Wales only) - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Train - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Bus; minibus or coach - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Driving a car or van - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Taxi or minicab - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Passenger in a car or van - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Motor cycle; scooter or moped - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Bicycle - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : On foot - Unit : People","Age : 16 to 74 years old - Travel to work; Means of : Other - Unit : People"
10231,11UE,"11UE : South Bucks",Districts,DIST,3960,392,1734,446,19601,97,1289,245,456,1768,151
10232,11UF,"11UF : Wycombe",Districts,DIST,8931,420,3083,2853,52982,164,4171,806,1196,7068,278
10233,12UB,"12UB : Cambridge",Districts,DIST,4217,92,1524,2549,18441,158,1827,609,12758,6890,171
10234,12UC,"12UC : East Cambridgeshire",Districts,DIST,4082,37,947,854,24874,55,2204,381,1376,2258,142
10235,12UD,"12UD : Fenland",Districts,DIST,3697,23,418,832,24003,138,2843,347,2534,2746,173
10236,12UE,"12UE : Huntingdonshire",Districts,DIST,8050,53,2338,2263,53248,198,5107,723,3622,6437,288
10237,12UG,"12UG : South Cambridgeshire",Districts,DIST,7695,69,1835,2771,43372,161,3316,964,4666,3989,321
10238,13UB,"13UB : Chester",Districts,DIST,5499,60,722,3508,33328,359,3257,475,1858,5997,323
10239,13UC,"13UC : Congleton",Districts,DIST,4765,25,645,623,30977,69,2520,404,1057,3343,149
10240,13UD,"13UD : Crewe and Nantwich",Districts,DIST,5108,28,851,1294,31265,125,3353,811,3517,4956,209
10241,13UE,"13UE : Ellesmere Port & Neston",Districts,DIST,2519,62,646,1527,23983,356,3284,497,1324,2656,205
10242,13UG,"13UG : Macclesfield",Districts,DIST,8549,122,1691,1448,47911,396,3919,451,1193,6971,388
10243,13UH,"13UH : Vale Royal",Districts,DIST,5749,56,471,1353,38960,125,3743,624,1283,4340,288
10244,15UB,"15UB : Caradon",Districts,DIST,4881,24,332,1303,20748,107,2193,800,691,4383,650
10245,15UC,"15UC : Carrick",Districts,DIST,4865,29,328,1224,21765,147,2419,467,513,5174,353
10246,15UD,"15UD : Kerrier",Districts,DIST,4912,15,210,1034,23994,76,2625,678,834,4066,290
10247,15UE,"15UE : North Cornwall",Districts,DIST,6255,30,98,287,19715,201,2135,421,493,4591,302
10248,15UF,"15UF : Penwith",Districts,DIST,3810,31,172,1015,12920,111,1640,373,485,4193,263
10249,15UG,"15UG : Restormel",Districts,DIST,4890,17,204,919,25412,205,3123,633,602,5020,295
10250,15UH,"15UH : Isles of Scilly",Districts,DIST,295,3,6,0,224,0,28,28,151,497,28
10251,16UB,"16UB : Allerdale",Districts,DIST,5117,24,171,1608,24272,142,3811,248,672,5519,239
10252,16UC,"16UC : Barrow-in-Furness",Districts,DIST,1958,15,413,2092,14317,277,2531,722,1707,4646,174
10253,16UD,"16UD : Carlisle",Districts,DIST,4645,16,177,4008,25440,204,3507,320,1262,7061,217
10254,16UE,"16UE : Copeland",Districts,DIST,2562,15,404,1889,17277,136,3120,244,455,2975,149
10255,16UF,"16UF : Eden",Districts,DIST,4805,17,101,557,13536,81,1438,125,329,3574,189
10256,16UG,"16UG : South Lakeland",Districts,DIST,7309,33,442,951,26381,175,2995,486,1505,7783,355
10257,17UB,"17UB : Amber Valley",Districts,DIST,4759,16,405,2567,35215,181,3998,757,833,5746,181
10258,17UC,"17UC : Bolsover",Districts,DIST,2310,40,211,1687,19003,80,2391,336,389,2920,95
10259,17UD,"17UD : Chesterfield",Districts,DIST,3180,33,317,3853,25516,298,3656,463,657,4834,121
10260,17UF,"17UF : Derbyshire Dales",Districts,DIST,4682,39,319,965,20507,75,2068,199,340,4039,213
10261,17UG,"17UG : Erewash",Districts,DIST,3951,15,661,3721,31937,175,3567,827,2330,5140,155
10262,17UH,"17UH : High Peak",Districts,DIST,4472,36,1931,1386,26090,217,2736,357,550,5728,194
10263,17UJ,"17UJ : North East Derbyshire",Districts,DIST,4080,211,231,3398,28859,81,3385,437,349,3240,174
